'hood	noun. (slang) a neighborhood
hibbertia	noun. evergreen heathlike or scandent shrubs of Madagascar; Australasia; Polynesia
hibbing	noun. a town in northeastern Minnesota in the Mesabi Range
hibernal	adjective. characteristic of or relating to winter
hibernate	verb. sleep during winter | verb. be in an inactive or dormant state
hibernating	adjective. in a condition of biological rest or suspended animation
hibernation	noun. the torpid or resting state in which some animals pass the winter | noun. cessation from or slowing of activity during the winter; especially slowing of metabolism in some animals | noun. the act of retiring into inactivity
hibernia	noun. an island comprising the republic of Ireland and Northern Ireland
hibiscus	noun. any plant of the genus Hibiscus
hibiscus cannabinus	noun. valuable fiber plant of East Indies now widespread in cultivation
hibiscus elatus	noun. erect forest tree of Cuba and Jamaica having variably hairy leaves and orange-yellow or orange-red flowers; yields a moderately dense timber for cabinetwork and gunstocks
hibiscus esculentus	noun. tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews; sometimes placed in genus Hibiscus
hibiscus farragei	noun. southern and western Australian shrub with unlobed or shallowly lobed toothed leaves and purple flowers; sometimes placed in genus Hibiscus
hibiscus heterophyllus	noun. Australian tree with acid foliage
hibiscus moschatus	noun. bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
hibiscus moscheutos	noun. showy shrub of salt marshes of the eastern United States having large rose-colored flowers
hibiscus mutabilis	noun. Chinese shrub or small tree having white or pink flowers becoming deep red at night; widely cultivated; naturalized in southeastern United States
hibiscus rosa-sinensis	noun. large showy Asiatic shrub or small tree having large single or double red to deep-red flowers
hibiscus sabdariffa	noun. East Indian sparsely prickly annual herb or perennial subshrub widely cultivated for its fleshy calyxes used in tarts and jelly and for its bast fiber
hibiscus syriacus	noun. Asiatic shrub or small shrubby tree having showy bell-shaped rose or purple or white flowers and usually three-lobed leaves; widely cultivated in temperate North America and Europe
hibiscus tiliaceus	noun. shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament
hibiscus trionum	noun. annual weedy herb with ephemeral yellow purple-eyed flowers; Old World tropics; naturalized as a weed in North America
hiccough	noun. (usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion | verb. breathe spasmodically, and make a sound
hiccough nut	noun. ornamental African shrub or climber with red flowers
hiccup	noun. (usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion | verb. breathe spasmodically, and make a sound
hiccup nut	noun. ornamental African shrub or climber with red flowers
hick	noun. a person who is not very intelligent or interested in culture | adjective. awkwardly simple and provincial
hickey	noun. a small inflamed elevation of the skin; a pustule or papule; common symptom in acne | noun. a temporary red mark on a person's skin resulting from kissing or sucking by their lover
hickock	noun. frontier marshal whose adventures have become legendary (1837-1876)
hickory	noun. valuable tough heavy hardwood from various hickory trees | noun. American hardwood tree bearing edible nuts
hickory nut	noun. small hard-shelled nut of North American hickory trees especially the shagbark hickories
hickory pine	noun. a small two-needled upland pine of the eastern United States (Appalachians) having dark brown flaking bark and thorn-tipped cone scales
hickory tree	noun. American hardwood tree bearing edible nuts
hidatsa	noun. a member of the Sioux people formerly inhabiting an area along the Missouri river in western North Dakota | noun. a Siouan language spoken by the Hidatsa
hidden	adjective. not accessible to view | adjective. designed to elude detection | adjective. difficult to find
hidden reserve	noun. reserves that do not show up on the balance sheet (as by understating values)
hidden tax	noun. a tax paid unwittingly by the consumer (such as ad valorem taxes)
hiddenite	noun. a green transparent form of the mineral spodumene used as a gemstone
hiddenness	noun. the state of being covert and hidden
hide	noun. the dressed skin of an animal (especially a large animal) | noun. body covering of a living animal | verb. prevent from being seen or discovered
hide and go seek	noun. a game in which a child covers his eyes while the other players hide then tries to find them
hide out	verb. be or go into hiding; keep out of sight, as for protection and safety
hide-and-seek	noun. a game in which a child covers his eyes while the other players hide then tries to find them
hideaway	noun. a hiding place; usually a remote place used by outlaws | noun. an area where you can be alone
hidebound	adjective. stubbornly conservative and narrow-minded
hideki yukawa	noun. Japanese mathematical physicist who proposed that nuclear forces are mediated by massive particles called mesons which are analogous to the photon in mediating electromagnetic forces (1907-1981)
hideous	adjective. grossly offensive to decency or morality; causing horror | adjective. so extremely ugly as to be terrifying
hideously	adverb. in a hideous manner
hideousness	noun. dreadful ugliness; horrible repulsiveness
hideout	noun. a hiding place; usually a remote place used by outlaws
hideyo noguchi	noun. United States bacteriologist (born in Japan) who discovered the cause of yellow fever and syphilis (1876-1928)
hiding	noun. the activity of keeping something secret | noun. the state of being hidden
hiding place	noun. a place suitable for hiding something (such as yourself)
